sequence_id,frame_id,actor_id,motion_type,joint_name,x,y,z,servo_1_pos,servo_2_pos,servo_3_pos,torque_1,torque_2,torque_3,motion_quality_score
1,1,actor_04,running,Head,-0.029,1.499,-0.094,64.68,71.9,1.1,0.122,0.214,0.16,0.876
1,1,actor_04,running,Spine,0.117,1.083,0.61,27.3,51.01,72.0,0.499,0.191,0.261,0.876
1,1,actor_04,running,LeftHand,-0.522,1.222,-0.058,36.51,79.84,68.36,0.371,0.138,0.261,0.876
1,1,actor_04,running,RightHand,-0.567,1.44,-0.386,24.45,51.08,88.73,0.478,0.186,0.141,0.876
1,1,actor_04,running,LeftFoot,-0.356,1.646,1.115,46.59,32.52,1.39,0.287,0.384,0.255,0.876
1,1,actor_04,running,RightFoot,0.408,2.002,-0.472,82.83,21.95,9.04,0.224,0.495,0.399,0.876
1,2,actor_04,running,Head,0.555,1.607,0.087,69.38,74.13,82.93,0.413,0.401,0.341,0.876
1,2,actor_04,running,Spine,-0.368,1.372,0.575,12.8,85.3,16.19,0.329,0.104,0.28,0.876
1,2,actor_04,running,LeftHand,0.694,1.37,0.079,56.85,32.8,49.92,0.46,0.366,0.377,0.876
1,2,actor_04,running,RightHand,-0.2,1.382,0.9,63.16,73.11,50.17,0.256,0.384,0.495,0.876
1,2,actor_04,running,LeftFoot,-0.193,1.576,-0.925,27.46,62.1,6.58,0.19,0.372,0.125,0.876
1,2,actor_04,running,RightFoot,-0.42,1.311,0.22,11.01,80.23,42.79,0.416,0.184,0.163,0.876
1,3,actor_04,running,Head,0.167,1.756,-0.688,8.53,86.15,21.87,0.335,0.337,0.13,0.876
1,3,actor_04,running,Spine,0.7,1.404,-0.182,51.97,72.5,33.7,0.341,0.181,0.183,0.876
1,3,actor_04,running,LeftHand,0.264,1.329,-0.237,30.68,82.49,11.9,0.287,0.445,0.451,0.876
1,3,actor_04,running,RightHand,0.281,1.365,0.403,28.2,33.02,33.32,0.354,0.137,0.413,0.876
1,3,actor_04,running,LeftFoot,-0.044,1.338,1.253,1.59,5.04,44.88,0.32,0.156,0.181,0.876
1,3,actor_04,running,RightFoot,0.07,1.155,0.042,12.31,77.28,69.62,0.406,0.279,0.407,0.876
1,4,actor_04,running,Head,0.605,1.742,0.027,32.4,61.09,21.65,0.19,0.34,0.148,0.876
1,4,actor_04,running,Spine,-0.146,1.421,-0.027,3.07,50.07,5.95,0.159,0.375,0.306,0.876
1,4,actor_04,running,LeftHand,-0.036,1.505,-0.923,38.2,89.4,6.53,0.294,0.11,0.268,0.876
1,4,actor_04,running,RightHand,-0.14,1.647,-0.746,35.7,86.41,39.22,0.445,0.191,0.317,0.876
1,4,actor_04,running,LeftFoot,0.179,1.536,-0.437,3.67,27.91,9.27,0.1,0.176,0.217,0.876
